position,team_name,country_code,apiFootballTeamId,total_points,total_value,trend,national_association_points,matches_played,teams_in_comp,teams_still_in,competition,2022,2023,2024,2025,2026
1,Real Madrid,ESP,541,131.5,131.5,STABLE,17.203,56,8,8,UEFA Champions League,30,29,34,24.5,14
2,Bayern München,GER,157,124.25,124.25,STABLE,16.595,50,7,7,UEFA Champions League,26,27,28,27.25,16
3,Inter,ITA,505,121.25,121.25,STABLE,18.425,50,7,7,UEFA Champions League,18,29,20,40.25,14
4,Man City,ENG,50,117.75,117.75,STABLE,20.732,49,9,9,UEFA Champions League,27,33,28,14.75,15
5,Liverpool,ENG,40,115.5,115.5,STABLE,20.732,47,9,9,UEFA Champions League,33,19,20,29.5,14
6,Paris,FRA,85,109.5,109.5,STABLE,15.121,49,7,7,UEFA Champions League,19,19,23,33.5,15
7,B. Dortmund,GER,165,98.75,98.75,STABLE,16.595,45,7,7,UEFA Champions League,10,18,29,27.75,14
8,Leverkusen,GER,168,98.25,98.25,STABLE,16.595,49,7,7,UEFA Champions League,14,19,29,23.25,13
9,Barcelona,ESP,529,96.25,96.25,STABLE,17.203,46,8,8,UEFA Champions League,15,9,23,36.25,13
10,Arsenal,ENG,42,93,93,STABLE,20.732,38,9,9,UEFA Champions League,,17,22,36,18
11,Atleti,ESP,530,91.5,91.5,STABLE,17.203,42,8,8,UEFA Champions League,19,8,24,26.5,14
12,Chelsea,ENG,49,89,89,STABLE,20.732,39,9,9,UEFA Champions League,25,21,,30,13
13,Roma,ITA,22590,88.5,88.5,STABLE,18.425,54,7,7,UEFA Europa League,23,22,21,14.5,8
14,Benfica,POR,211,87.75,87.75,STABLE,12.653,46,5,4,UEFA Champions League,20,25,14,18.75,10
15,Frankfurt,GER,169,83,83,STABLE,16.595,45,7,7,UEFA Champions League,28,16,7,23,9
16,Atalanta,ITA,499,80,80,STABLE,18.425,37,7,7,UEFA Champions League,16,,28,21,15
17,Man Utd,ENG,33,76.5,76.5,STABLE,18.168,39,9,9,,18,19,7,32.5,
18,PSV,NED,197,71.25,71.25,STABLE,13.152,40,6,6,UEFA Champions League,10,11,17,21.25,12
19,Club Brugge,BEL,569,69.75,69.75,STABLE,11.55,42,5,3,UEFA Champions League,7,17,21,15.75,9
20,Sporting CP,POR,228,69.5,69.5,STABLE,12.653,40,5,4,UEFA Champions League,16,14,12,14.5,13
21,Tottenham,ENG,47,69.25,69.25,STABLE,20.732,34,9,9,UEFA Champions League,5,18,18,32.25,14
22,Fiorentina,ITA,502,69.25,69.25,STABLE,18.425,44,7,7,UEFA Conference League,,20,22,20,7.25
23,Feyenoord,NED,209,69,69,STABLE,13.152,45,6,6,UEFA Europa League,24,17,8,18,2
24,West Ham,ENG,48,69,69,STABLE,12.275,35,9,9,,21,29,19,,
25,Juventus,ITA,496,66.25,66.25,STABLE,18.425,34,7,7,UEFA Champions League,20,17,17,16.25,13
26,Milan,ITA,489,66,66,STABLE,16.189,36,7,7,,7,24,16,19,9
27,Porto,POR,20782,65.75,65.75,STABLE,12.653,38,5,4,UEFA Europa League,10,18,19,9.75,9
28,Lille,FRA,79,64,64,STABLE,15.121,34,7,7,UEFA Europa League,17,17,17,24,6
29,Real Betis,ESP,543,62.25,62.25,STABLE,17.203,41,8,8,UEFA Europa League,11,16,6,19.25,10
30,Napoli,ITA,492,62,62,STABLE,18.425,30,7,7,UEFA Champions League,9,25,17,,11
31,Leipzig,GER,173,61,61,STABLE,14.223,34,7,7,UEFA Champions League,17,18,18,8,
32,Villarreal,ESP,533,59,59,STABLE,17.203,34,8,8,UEFA Champions League,24,12,16,5,7
